BV1E8J3zcE3E,114528155075947,30023223347,3493259158489839,黄老师说软件测试,自学AI测试，骂醒一个是一个！狂逼自己一周学完就能轻松入行软件测试，用最热门的方法从入门到实战，快速进阶入职高薪测试！,,2025-05-18,17:52:05,,6755,156,117,788,79,13,47
BV1hqBLBoE3i,115773041348362,34945042547,3546691888221040,阿里自动化测试,【自动化测试】10分钟彻底搞懂Python自动化测试核心知识点，从零上手生成完美allure报告，小白也能看懂！,,2025-12-24,14:08:24,勉费领取视频全套资料/文档/学习笔记点旁边这个链接哦→https://www.bilibili.com/opus/918700823271178265?spm_id_from=333.1387.0.0,1267,33,29,145,59,1,0
BV1hw4m1Z7NF,1101491873,1456793989,396848107,不愧是姐姐大人,恋商摸底测试！你到底有多会谈恋爱？恋爱智商够用吗,,2024-03-02,21:30:00,"@测试召唤小崎酱  纯性格题目的娱乐小测试都会放在这个号上，提前点点关注啦

喜欢本期测试的话，记得三连支持一下~",803890,57155,14051,9944,16414,5473,7757
BV1i6MuzxESN,114675308108562,30473651594,471792754,趣测酱,恋爱偏好检测！容貌、场所、角色…你最爱的是什么？,,2025-06-13,20:04:30,喜欢本测试的家人~三连支持一下吧！,516301,15254,2600,3435,5192,1489,2285
BV1GDBdBgEMj,115781597666923,34981154623,397376094,小牛663,最新！毕业项目-智能模糊测试漏洞检测系统,,2025-12-26,02:24:56,"智能模糊测试漏洞检测系统
📋 项目简介
这是一个基于人工智能技术的智能模糊测试系统，采用前后端分离架构，集成了大语言模型用于智能种子生成，能够自动化地发现Python代码中的安全漏洞。该系统提供了一个完整的模糊测试流程，从代码上传、种子生成、测试执行到报告生成的完整解决方案。

🚀 核心特性
🤖 人工智能驱动
集成大语言模型自动分析代码结构
基于函数参数类型生成智能测试用例
支持本地兜底生成策略，确保测试有效性
📁 多格式代码支持
支持单个Python文件上传
支持压缩包(.zip/.tar/.tar.gz)批量上传
自动解压并提取所有.py文件进行测试
🛡️ 漏洞规则库
内置CWE(Common Weakness Enumeration)漏洞分类
正则表达式匹配崩溃信息进行漏洞识别
支持自定义规则管理和优先级设置
📊 实时监控与报告
实时日志输出，跟踪测试执行过程
进度可视化，显示测试状态
多种报告格式：Word文档、Excel导出",92,3,2,2,1,4,0
BV1cSBFBeEDc,115746248197372,34844641244,1653229811,01星球,计算机学生进来接受拷打，看看你的同届学生都什么进度了！,,2025-12-19,20:38:45,计算机学生压力视频！,16379,676,189,939,191,269,31
BV1ecWBzzEtc,115383474330488,33119406821,3546791444219974,测试干货铺,【2025最新版】软件测试最全最细全套教程合集，从入门到入职，手把手带你做项目！,,2025-10-16,19:00:57,"【软件测试视频配套籽料、学习包、电子书+问题解答请看 ”置顶平论” 自取哦】
本套视频从零开始讲解，包含了软件测试入门、接口测试、自动化测试、测试开发等。
如果视频对你有用的话请一键三连【长按点赞】支持一下up哦，拜托啦，这对我真的很重要！",64932,1353,1421,4790,1021,1881,1709
BV1quSZYdEYy,113407739039648,26566004345,3546677946354642,瀚从测试开发,B站最详细的性能测试实操讲解，学完直接上手百万级压测项目，存下吧，找不到更详细的了...,,2024-11-01,20:51:39,"勉费分享【软件测试/自动化测试】视频源码/文档/课件/学习笔记
资料领取点这里：https://www.bilibili.com/opus/945095424518127616
喜欢本教程的B友们【点赞+投币+收藏】一键三连呀（゜-゜）つロ 干杯~",17460,582,104,571,109,22,243
BV1DvH6zTE3u,115189160674712,32324914084,437276739,CST_Mooctest,2025全国大学生软件测试大赛Web应用测试做题流程演示,,2025-09-12,11:21:28,2025全国大学生软件测试大赛Web应用测试做题流程演示,14479,82,4,204,115,11,0
BV1511vBBEta,115485681123750,33661127081,300098408,超自然觉醒,你选择的蝴蝶将揭示你是谁——卡尔·荣格心理测试,,2025-11-04,08:25:00,,9942,318,49,336,48,69,38
BV19u4y137yv,919412995,1360253831,173000863,热爱的小生活,研发转测开，在测开小组到底干什么呢？,,2023-12-09,14:07:08,-,5807,96,33,95,10,27,1
BV1rK411s7D5,495779635,1394044466,21621861,默默成神,软件测试天花板在哪？10年软件测试工资是多少？,,2024-01-04,19:14:26,UC浏览器，小鹏汽车创始人何小鹏也是做技术出身，他在以前就是做测试经理，这算不算软件测试行业第一人,4151,47,11,25,7,29,29
BV1i2eMzXE8m,115059909008495,31821335092,1686695964,Ju加油坊,软件测试课程【黑盒测试&白盒测试】,,2025-08-20,15:33:47,软件测试是通过人工或自动化手段运行或检测软件系统，以验证其是否满足需求并识别预期与实际结果差异的过程。1983年IEEE将其定义为质量保障的核心活动，主要分为静态测试（代码分析）与动态测试（运行检测），结合黑盒（功能验证）和白盒（代码结构分析）技术......,1789,20,6,80,11,3,0
BV1wUx9z6EBs,115333478287953,32903466179,3494379004102842,测试系主任,测试用例终极指南，包含通用测试用例的编写方法及10种黑盒测试用例的设计方法,,2025-10-07,23:12:50,一套覆盖通用测试用例写作方法及用例底层的设计逻辑 | 告别用例设计的迷茫与重复,1661,29,25,102,7,25,2
BV14ABVBGEJ1,115772521193161,34942551602,234893283,大GV房东,【敢不敢疯一把，5天背完Java面试八股文】B站严选全程100集，只要你干刷，面试通过率提升90%!,,2025-12-24,12:16:52,制作不易，大家喜欢视频记得点点关注，一键三连呀【点赞、投币、收藏】感谢支持~,1083,28,25,111,3,52,0
